company,# applications,avg_wages
ADVANCE GENERATION TECHNOLOGIES,8,"$73,250"
MODEL MANAGEMENT,8,"$232,143"
STARPOINT SOLUTIONS,8,"$98,167"
FLEX CONSULTING GROUP,8,"$63,500"
MOURI TECH,8,"$62,375"
CHRISTIE,8,"$108,052"
SERRAVIEW AMERICA,8,"$133,350"
YORK PRESBYTERIAN HOSPITAL,8,"$131,374"
HARVARD MANAGEMENT ASSOCIATES,8,"$48,996"
AXIOMA,8,"$84,162"
ITECH,8,"$93,062"
INNER VIEW,8,"$56,668"
CARAT,8,"$108,875"
NUMERIX,8,"$99,688"
INFOLOB SOLUTIONS,8,"$67,500"
NEWEDGE,8,"$130,264"
POINT72 ASSET MANAGEMENT,8,"$147,500"
YORK CITY OFFICE MANAGEMENT BUDGET,8,"$52,438"
HILL INTERNATIONAL,8,"$101,525"
AMAZON SERVICES,8,"$143,900"
ACOTEL INTERACTIVE,8,"$78,063"
CMGRP,8,"$95,713"
FAIRWAY CENTRAL SERVICES,8,"$61,657"
MEDIA SYSTEMS,8,"$114,671"
KITANO ARMS CORPORATION,8,"$49,199"
RAYONSOFT TECHNOLOGIES,8,"$82,600"
STRATEGIC RESOURCES INTERNATIONAL,8,"$63,584"
MARCUM BERNSTEIN PINCHUK,8,"$69,885"
AVON PRODUCTS,8,"$107,051"
SCHOLASTIC,8,"$112,150"
JORDACHE ENTERPRISES,8,"$90,000"
TORY BURCH,8,"$95,875"
TEKALLIANZ CORPORATION,8,"$60,000"
MUSIGMA,8,"$64,131"
BUSINESS INTERNATIONAL,8,"$100,873"
RICHARD MEIER PARTNERS ARCHITECTS,8,"$71,567"
RESOURCESYS,8,"$77,917"
NATIONAL ECONOMIC RESEARCH ASSOCIATES,8,"$65,590"
LATIN MARKETS BRAZIL,8,"$57,350"
OUTBRAIN,8,"$118,125"
FLOW TRADERS,8,"$103,051"
PFIZER,8,"$159,947"
RANDSTAD TECHNOLOGIES,8,"$109,249"
SALESFORCE,8,"$123,787"
DIGITAL GROUP COMPANIES,8,"$72,916"
OPEN SYSTEMS TECHNOLOGIES,8,"$119,675"
DIRECTV LATIN AMERICA,8,"$111,713"
GLOBAL DATA MANAGEMENT,8,"$84,753"
AMTEX SYSTEMS,8,"$60,000"
SAMSUNG INFORMATION SYSTEMS AMERICA,8,"$121,375"
RAFAEL VINOLY ARCHITECTS,8,"$51,027"
JOHN COLLEGE CRIMINAL JUSTICE CUNY,8,"$65,317"
SIRIUS RADIO,8,"$114,107"
MERGERMARKET,8,"$68,375"
KNEWTON,8,"$106,876"
BLOOMINGDALE MAIL,8,"$63,885"
FUNDTECH CORPORATION,8,"$73,001"
COLGATE PALMOLIVE COMPANY,8,"$95,325"
PAUL WEISS RIFKIND WHARTON GARRISON,8,"$178,213"
STUDIO NAZAR,8,"$38,000"
EYEVIEW,8,"$90,938"
THERAPEUTIC RESOURCES PHYSICAL OCCUP SPEECH,8,"$74,880"
SOGETI,8,"$99,082"
DONNELLEY SONS COMPANY,8,"$82,917"
FORBES MEDIA,8,"$50,384"
CREATETHE GROUP,8,"$78,625"
JAMES CORNER FIELD OPERATIONS,8,"$59,250"
YORK ASIAN WOMEN CENTER,8,"$42,500"
EXPRESS STAFFING REGISTRY,7,"$67,642"
SUNRAY ENTERPRISE,7,"$65,917"
WOORI AMERICA BANK,7,"$37,128"
MILLENNIUM INFO TECH,7,"$71,429"
NORTHPOINT SOLUTIONS,7,"$136,571"
INVESTORS,7,"$199,820"
MEZOCLIQ,7,"$109,000"
BANK NOVA SCOTIA,7,"$136,097"
RESOURCE LOGISTICS,7,"$78,143"
NOODLE EDUCATION,7,"$67,333"
RESOURCE SEARCH COMPANY,7,"$131,429"
MICHAEL PAGE INTERNATIONAL,7,"$65,714"
JACKSON THERAPY PARTNERS HOLDINGS,7,"$63,963"
INDUSTRIAL COMMERCIAL BANK CHINA,7,"$57,063"
NITEOSOFT,7,"$61,521"
UNIQUE COMP,7,"$76,000"
BERNSTEIN PINCHUK,7,"$59,051"
INVESTMENT RESEARCH,7,"$75,000"
JAKLITSCH GARDNER ARCHITECTS,7,"$51,000"
INFOPEOPLE CORPORATION,7,"$121,834"
INFINITY TECH GROUP,7,"$76,286"
NIHAKI SYSTEMS,7,"$81,643"
ROBERT WALTERS ASSOCIATES,7,"$69,132"
SQUARESPACE,7,"$117,500"
CATALYST ONLINE,7,"$75,286"
REIDY CONTRACTING GROUP,7,"$79,066"
HOULIHAN LOKEY HOWARD ZUKIN,7,"$95,001"
GREY GLOBAL GROUP,7,"$93,714"
SAGARSOFT,7,"$120,343"
GRUBHUB,7,"$112,571"
GUGGENHEIM SECURITIES,7,"$91,785"
IPREO,7,"$116,714"
REBECCA MINKOFF,7,"$75,236"
CUMMING CONSTRUCTION MANAGEMENT,7,"$114,000"
MACKSON,7,"$47,397"
HELLMUTH OBATA KASSABAUM,7,"$82,070"
WESTPORT INSURANCE CORPORATION,7,"$132,000"
AVENUES YORK,7,"$55,957"
SOFTWARE PROGRAMMING GROUP,7,"$61,714"
SCHULTE ROTH ZABEL,7,"$172,075"
WEIL GOTSHAL MANGES,7,"$224,286"
GENERATION READY,7,"$185,714"
AMZUR TECHNOLOGIES,7,"$75,310"
OFFICE KESHAB SEADIE,7,"$55,114"
DAILY NEWS,7,"$67,349"
DIRECTV,7,"$114,120"
LOGIC PLANET,7,"$80,000"
AHRC,7,"$45,365"
SARAS AMERICA,7,"$56,758"
GRAVITAS TECHNOLOGY SERVICES,7,"$99,029"
ENTERPRISE SOFTWARE SOLUTIONS,7,"$77,857"
CONNECTIONS PERSONNEL YORK,7,"$117,657"
DSTILLERY,7,"$112,143"
ADAEQUARE,7,"$84,620"
ASPIRE,7,"$65,571"
COMCAST CABLE COMMUNICATIONS,7,"$102,075"
TELSTRA,7,"$99,281"
COMMERZBANK YORK BRANCH,7,"$110,429"
LATHAM WATKINS,7,"$168,571"
COMPUQUEST,7,"$68,429"
SERVE VIRTUAL ENTERPRISES,7,"$105,000"
OGILVYONE,7,"$111,964"
OGILVY MATHER WORLDWIDE,7,"$110,714"
THOMSON REUTERS MARKETS,7,"$109,534"
OGILVY GROUP OGILVY MATHER,7,"$73,441"
INTERNATIONAL CENTER TRANSITIONAL JUSTICE,7,"$100,605"
INTEGRAL SCIENCE,7,"$126,786"
ARCHITECTURE PLLC,7,"$43,738"
YERMAN ASSOCIATES,7,"$50,814"
LEATHER FASHIONS,7,"$69,384"
MAKOSI,7,"$81,143"
CURTIS MALLET PREVOST COLT MOSLE,7,"$198,571"
BONE INDUSTRIES,7,"$73,393"
DISTRIBUTION INTERNATIONAL,7,"$64,858"
ICONSOFT,7,"$84,371"
AMERICAN EDUCATION CENTER,7,"$55,900"
MUFG UNION BANK,7,"$148,609"
HAKS ENGINEERS ARCHITECTS LAND SURVEYORS,7,"$73,944"
PERCOLATE INDUSTRIES,7,"$96,786"
DRAFTFCB,7,"$82,950"
SYSINTELLI,7,"$91,429"
CORNERSTONE RESEARCH,7,"$123,000"
NOVANTAS,7,"$75,667"
CAPITAL ADVISORS,7,"$115,714"
ECLIPSE,7,"$120,770"
CONSULTING SOLUTIONS,7,"$91,000"
AMICUS SYSTEMS,7,"$110,714"
MEDIACOM WORLDWIDE,7,"$107,000"
EVERYDAY HEALTH,7,"$57,857"
CAPITAL MARKETS CORP,7,"$145,714"
MANAGEMENT HEALTH SYSTEMS,7,"$77,941"
IMATRIX CORP,7,"$64,000"
SPHINIX NETWORK SOLUTIONS,7,"$56,359"
CAPITAL NATIONAL ASSOCIATION,7,"$106,492"
FAHRENHEIT 212,7,"$110,714"
WORLD EDUCATION SERVICES,7,"$46,817"
CONSTRUCTION,7,"$66,352"
SIGNPOST,7,"$85,143"
WORK MANAGEMENT,7,"$98,436"
SONY MUSIC ENTERTAINMENT,7,"$95,445"
INTERNATIONAL STRATEGY INVESTMENT GROUP,7,"$153,333"
SYSVEDA AMERICA,7,"$75,833"
MAHESH AGASHIWALA P,7,"$54,286"
FRAMESTORE,7,"$83,857"
ADVISEN,7,"$58,795"
BROOKS BROTHERS GROUP,6,"$79,245"
MULTIVISION,6,"$69,167"
SIMCORP,6,"$139,958"
KNOA SOFTWARE,6,"$77,500"
MYCROFT,6,"$97,737"
NANDA INFOTECH SERVICES ELECTRONIC DATA,6,"$89,118"
MRPT PHYSICAL THERAPY,6,"$124,800"
INTERACTIVE,6,"$99,246"
MUSEUM MODERN,6,"$104,226"
INTEGRATED RESOURCES,6,"$128,145"
GOLDMAN SACHS EXECUTION CLEARING,6,"$105,667"
HERTZ HERSON,6,"$58,667"
BROWN SHOE COMPANY,6,"$115,940"
GOHOV,6,"$117,291"
NIELSEN COMPANY,6,"$96,642"
STARWOOD HOTELS RESORTS WORLDWIDE,6,"$68,929"
3EGEUSAGROUP,6,"$71,667"
LEADDOG MARKETING GROUP,6,"$76,206"
E*PRO INC.,6,"$59,667"
AKAMAI TECHNOLOGIES,6,"$108,175"
SOROS FUND MANAGEMENT,6,"$162,500"
GLOBAL PARTNERS,6,"$70,024"
MITSUBISHI SECURITIES,6,"$138,667"
CAPSTONE INVESTMENT ADVISORS,6,"$138,341"
DILLER SCOFIDIO RENFRO ARCHITECTS,6,"$61,417"
WORK,6,"$61,250"
HILL ADVISORS,6,"$125,000"
INNOVATIVE INFORMATION TECHNOLOGIES,6,"$72,972"
SARAH JANE BRAIN FOUNDATION,6,"$71,118"
SAKS FIFTH AVENUE,6,"$89,519"
SAMURAI INFOTECH,6,"$85,833"
BIRCHBOX,6,"$153,283"
INFOTECH VALLEY,6,"$86,959"
DIGITAL OCEAN,6,"$111,560"
LANGAN ENGINEERING ENVIRONMENTAL SURVEYING,6,"$79,000"
NBBJ ARCHITECTURE PLLC,6,"$56,167"
SOLS SYSTEMS,6,"$81,500"
HERMITAGE INFOTECH,6,"$65,718"
INSTINET HOLDINGS INCORPORATED,6,"$126,667"
VOLANT HOLDING,6,"$130,833"
FIRST MANHATTAN CONSULTING GROUP,6,"$74,005"
SMARTSOFT INTERNATIONAL,6,"$74,596"
YORK INSTITUTE ENGLISH BUSINESS,6,"$37,440"
INVESTOR ANALYTICS,6,"$108,083"
SOFTENTIAL,6,"$81,667"
HIGHDATA SOFTWARE CORPORATION,6,"$63,250"
FIRST SOLUTIONS,6,"$51,493"
BLUEFLY,6,"$108,587"
1STDIBS,6,"$88,867"
MOORE CAPITAL MANAGEMENT,6,"$102,500"
NEXT JUMP,6,"$114,021"
HILTON HOTELS CORPORATION,6,"$57,707"
INTUNE SYSTEMS,6,"$76,903"
CANACCORD GENUITY,6,"$138,000"
HOTTA LIESENBERG SAITO,6,"$64,047"
AMERICAN MEDICAL,6,"$64,792"
TECH SOLUTIONS,6,"$78,667"
PREMIUM TECHNOLOGY,6,"$61,990"
JOSEPH TROCHE,6,"$66,560"
TEKNAVO,6,"$115,425"
TEK ERP LLC,6,"$59,500"
YASH TECHNOLOGIES,6,"$63,150"
GARDINER THEOBALD,6,"$103,132"
COLLABORATE SOLUTIONS,6,"$65,124"
LIVESTREAM,6,"$81,393"
PRODUCTIONS,6,"$58,300"
CODE THEORY,6,"$84,276"
PROJECT ORBIS INTERNATIONAL,6,"$79,511"
PROJECTS,6,"$73,907"
VICTORIA SECRET STORES,6,"$105,585"
ASPIRE SYSTEMS,6,"$74,859"
JEFFERIES COMPANY,6,"$85,000"
PROSKAUER ROSE,6,"$170,000"
TWO95 INTERNATIONAL,6,"$74,167"
HOLLWICH KUSHNER ARCHITECTURE,6,"$65,000"
HEARST COMMUNICATIONS,6,"$92,500"
MCGRAW HILL GLOBAL EDUCATION,6,"$145,417"
DEEP FOCUS,6,"$75,804"
AARON DIAMOND AIDS RESEARCH CENTER,6,"$68,644"
FOURSQUARE LABS,6,"$117,500"
EXPOSURE COMMUNICATIONS,6,"$54,347"
IMAGEBRIEF,6,"$94,176"
DELASOFT,6,"$74,274"
AESOP,6,"$84,405"
DELIVERY,6,"$80,170"
YORK SERVICE CENTER CHINESE STUDY FELLOWS,6,"$47,606"
LLOYDS BANK,6,"$128,514"
COMMITTEE INTERNS RESIDENTS,6,"$56,493"
DATA GLOVE,6,"$65,167"
PERKINS WILL,6,"$51,998"
EVEREST CONSULTING GROUP,6,"$68,000"
TREBBIANNO,6,"$99,884"
ANTENNA INC,6,"$56,919"
PENTON LEARNING SYSTEMS,6,"$52,750"
TRANSIT WIRELESS,6,"$92,846"
PENNEY CORPORATION,6,"$79,979"
CONNOR DAVIES,6,"$76,482"
TRADERFIELD SECURITIES,6,"$64,400"
APPAREL,6,"$56,607"
PINE RIVER CAPITAL MANAGEMENT,6,"$206,252"
PIXABLE,6,"$121,141"
MARCUM,6,"$107,500"
COMSCORE,6,"$64,693"
FERRANTE PLLC,6,"$69,125"
PENGUIN RANDOM HOUSE,6,"$75,385"
PLATYS GROUP,6,"$60,000"
PLUS,6,"$49,535"
GAMELOFT,6,"$67,217"
VENTE PRIVEE BRANDS,6,"$106,330"
MARKETING,6,"$84,725"
YEXT,6,"$98,833"
FREEWHEEL MEDIA,6,"$112,333"
PORTWARE,6,"$96,459"
POSTO,6,"$56,603"
HOME OFFICE,6,"$128,500"
TEVA PHARMACEUTICALS,6,"$152,500"
JEFFREY CHARLES,6,"$49,257"
DAVID YURMAN ENTERPRISES,6,"$104,250"
CHIA,6,"$121,600"
BANK AMERICA CORPORATION,6,"$113,088"
SUMITOMO MITSUI BANKING CORPORATION,6,"$80,788"
VINCI CONCESSIONS,6,"$202,155"
REED ELSEVIER,6,"$117,763"
DELUXE MEDIA CREATIVE SERVICES,6,"$105,667"
FINO CONSULTING,6,"$92,279"
KNOWLEDGENT GROUP,6,"$134,833"
ELITE,6,"$79,711"
ITOCHU PROMINENT,6,"$54,700"
"XAD, INC.",6,"$95,833"
SUNERA TECHNOLOGIES,6,"$70,583"
ELEMENT TECHNOLOGIES,6,"$72,681"
ISYNC SOLUTIONS,6,"$62,000"
RIVERBED TECHNOLOGY,6,"$119,606"
LAIRD PARTNERS YORK,6,"$144,167"
WESTFIELD,6,"$184,902"
STEVEN WINTER ASSOCIATES,6,"$68,167"
IPSOFT INCORPORATED,6,"$95,937"
BAZMARK,6,"$127,417"
RECRUITING MINDS,6,"$93,153"
CHINA CENTER YORK,6,"$58,883"
UNICREDIT BANK,6,"$109,108"
PAUL HASTINGS,6,"$194,000"
XORIANT CORPORATION,6,"$84,500"
IMETRIS CORPORATION,6,"$63,818"
AXIOM SOFTWARE LABOARATORIES,6,"$92,500"
CORPBANCA YORK BRANCH,6,"$96,367"
AVANT HEALTHCARE PROFESSIONALS,6,"$64,792"
SUSQUEHANNA INTERNATIONAL GROUP,6,"$141,558"
SUNSOFT SERVICES,6,"$61,088"
CTBC BANK,5,"$48,335"
SHANG MAGAZINE,5,"$42,900"
OMNIMARKETS,5,"$84,000"
KELLWOOD COMPANY,5,"$109,000"
OMNIGON COMMUNICATIONS,5,"$82,881"
LAVORI,5,"$53,000"
COMPUTER GROUP,5,"$72,475"
COMSPARK INTERNATIONAL,5,"$56,551"
N2 SERVICES,5,"$69,600"
NEIL LANGAN ARCHITECTS,5,"$51,808"
R3 TECHNOLOGY,5,"$86,200"
DECHERT,5,"$213,333"
OMD USA LLC,5,"$123,461"
COYLE CONTRACTING CORP,5,"$53,054"
PLAY RUGBY,5,"$51,542"
SERVE VIRTUAL ENTERPRISE,5,"$128,180"
ORÄAL,5,"$138,940"
KENNETH COLE PRODUCTIONS,5,"$121,300"
INTERNATIONAL AIDS VACCINE INITIATIVE,5,"$103,969"
OPERATIVE MEDIA,5,"$126,320"
GLOBAL ASSET MANAGEMENT HOLDINGS CORP,5,"$115,720"
OIKOS NETWORKS,5,"$56,100"
POLARIS SOLUTIONS,5,"$83,835"
QUINN EMANUEL URQUHART SULLIVAN,5,"$180,000"
OGILVY PUBLIC RELATIONS WORLDWIDE,5,"$79,720"
GILSANZ MURRAY STEFICEK,5,"$59,800"
OPEN ASSEMBLY,5,"$55,553"
CUTTING EDGE MUSIC SERVICES,5,"$60,000"
ROSETTA MARKETING GROUP,5,"$153,000"
PERFICIENT,5,"$92,000"
PERMASTEELISA NORTH AMERICA CORP,5,"$96,523"
INVUS GROUP,5,"$128,796"
INTERCULTURAL PROGRAMS,5,"$58,469"
CRESCENT HOTELS RESORTS,5,"$78,000"
BROADRIDGE FINANCIAL SOLUTIONS,5,"$153,825"
SHINHAN BANK AMERICA,5,"$60,990"
KOBRE,5,"$83,443"
ADPRIME MEDIA,5,"$60,537"
WILMER CUTLER PICKERING HALE DORR,5,"$164,500"
GACE CONSULTING ENGINEERS,5,"$61,526"
ADROIX CORP,5,"$72,110"
GAIA REAL ESTATE,5,"$153,000"
SHOP ARCHITECTS,5,"$65,501"
KAYE SCHOLER,5,"$193,333"
KUZMIN ASSOCIATES,5,"$49,504"
KARLA OTTO,5,"$59,000"
SHAW RESEARCH,5,"$170,000"
WELLPOINT,5,"$107,595"
PARIBAS INVESTMENT PARTNERS HOLDINGS,5,"$121,250"
FOREFRONT CAPITAL MARKETS,5,"$72,900"
KARGO GLOBAL,5,"$45,600"
RISKVAL FINANCIAL SOLUTIONS,5,"$74,100"
WEISSCOMM GROUP,5,"$92,614"
ONLINE SERVICES CORPORATION,5,"$131,000"
QUANTILUS,5,"$73,333"
INTERNATIONAL FEDERATION ACCOUNTANTS,5,"$151,300"
PEARSON EDUCATION,5,"$94,534"
REBEL MOUSE,5,"$108,000"
INTERNATIONAL RESEARCH,5,"$49,504"
INTERNATIONAL SOFTWARE SYSTEMS,5,"$64,000"
OPTIMA GLOBAL SOLUTIONS,5,"$110,325"
CRAIN COMMUNICATIONS,5,"$54,070"
WARBURG PINCUS,5,"$196,000"
PROENZA SCHOULER,5,"$73,000"
FRESHPLANET,5,"$95,000"
PROFICIENT BUSINESS SYSTEMS,5,"$78,420"
WALL STREET SYSTEMS DELAWARE,5,"$116,000"
REDCATS MANAGEMENT SERVICES,5,"$74,300"
GLOBAL APPLICATIONS SOLUTIONS,5,"$74,000"
GATEWAY GROUP TECHNOLOGIES,5,"$57,000"
PROSIS TECHNOLOGIES,5,"$69,420"
RESOLUTION SERVICES,5,"$92,627"
CMYK WHITE,5,"$50,649"
FOUNDATION GLOBAL COMPACT,5,"$83,016"
KETCHUM,5,"$86,434"
PROSPECT 33,5,"$53,042"
PROTEGE,5,"$81,400"
DBOX,5,"$44,485"
CORIANT ADVANCED TECHNOLOGY,5,"$83,455"
PACTUAL ASSET MANAGEMENT,5,"$103,215"
PSYOP PRODUCTIONS,5,"$64,300"
PACTUAL CAPITAL,5,"$135,162"
DEALOGIC,5,"$74,436"
JAZEERA AMERICA,5,"$99,600"
CHINA CONSTRUCTION BANK CORPORATION,5,"$58,160"
COLLECTION XIIX,5,"$63,928"
COLLECTIVE,5,"$100,797"
RELIABLE SOFTWARE RESOURCES,5,"$62,400"
PURPOSE CAMPAIGNS,5,"$93,000"
OPPENHEIMER,5,"$84,380"
GIBSON DUNN CRUTCHER,5,"$180,000"
SECONDMARKET HOLDINGS,5,"$107,350"
NOOM,5,"$87,780"
INVESTMENTS,5,"$95,080"
GLORIA APPAREL,5,"$55,374"
CROWDTAP,5,"$112,000"
RENT RUNWAY,5,"$105,000"
CICC SECURITIES,5,"$83,700"
INVESTMENT MANAGEMENT,5,"$156,325"
CINTRA SOFTWARE SERVICES,5,"$110,000"
REMY COINTREAU,5,"$100,762"
DATA SOLUTIONS,5,"$73,400"
PACE UNIVERSITY,5,"$138,025"
OPTIMUS SYSTEMS,5,"$70,150"
DATAART SOLUTIONS,5,"$107,319"
OPPENHEIMERFUNDS,5,"$131,000"
PRICELINE,5,"$106,513"
PACIFIC AMERICAN CORPORATION,5,"$59,000"
ADVANCED TECHNOLOGY CONSULTING SERVICE,5,"$80,742"
RELO REDAC,5,"$44,891"
SCHOOLOGY,5,"$103,106"
CIVITAS,5,"$50,802"
JOOR,5,"$60,129"
ADORE,5,"$86,136"
CRISIL IREVNA,5,"$109,800"
VLINK,5,"$67,239"
WORLD JOINT CORPORATION,5,"$45,074"
ATLAS ADVISORS,5,"$134,663"
BARCLAYS CAPITAL COMMODITIES CORP,5,"$190,000"
HASKELL JEWELS,5,"$52,300"
GROUPON,5,"$115,300"
EATON WINKLE,5,"$84,596"
ZOLFO COOPER,5,"$122,830"
WORLDWIDE,5,"$66,250"
MARC JACOBS INTERNATIONAL,5,"$83,700"
ENGINEERING,5,"$64,010"
TRADITION,5,"$196,250"
BLUE WOLF GROUP,5,"$64,600"
INDUSTRIES,5,"$91,834"
SOFTWARE GUIDANCE ASSISTANCE,5,"$101,472"
VMOKSHA TECHNOLOGIES,5,"$99,195"
EVANS RELOCATION,5,"$50,930"
EAGLE SHIPPING INTERNATIONAL,5,"$107,600"
ALLEN COMPANY,5,"$102,100"
HAVAS HEALTH,5,"$69,200"
HAMILTON MADISON HOUSE,5,"$43,614"
EVERPOINT ASSET MANAGEMENT,5,"$148,000"
SOFIA TECHNOLOGY,5,"$87,400"
TREMOR VIDEO,5,"$80,220"
LORVEN TECHNOLOGIES,5,"$70,800"
BODY LABS,5,"$72,400"
ANIMOTO,5,"$136,800"
YABU PUSHELBERG,5,"$71,600"
TREND,5,"$44,762"
GRAHAM WINDHAM,5,"$61,500"
IMAGINE SOFTWARE,5,"$88,500"
APPLIED VALUE,5,"$125,000"
SONY MUSIC HOLDINGS,5,"$111,072"
MOELIS COMPANY HOLDINGS,5,"$150,000"
MARSH MCLENNAN COMPANIES,5,"$97,975"
ENVIRONMENTAL DEFENSE FUND,5,"$87,960"
BERTOLINI ARCHITECTURAL WORKS,5,"$48,439"
STARCOM MEDIAVEST GROUP,5,"$176,850"
FIRST EAGLE INVESTMENT MANAGEMENT,5,"$163,333"
TECHNOLOGIES SOLUTIONS,5,"$105,015"
TECHNOLOGY SOLUTIONS,5,"$86,000"
TEKNEST,5,"$70,700"
ZHONGYIN APPAREL,5,"$101,956"
YASH LUJAN CONSULTING,5,"$89,930"
MARTIN FLYER JEWELRY,5,"$56,615"
ENTERPRISES,5,"$103,720"
HUSTVEDT CUTLER ARCHITECTS,5,"$60,580"
ASSET INTERNATIONAL,5,"$84,069"
TETHYS TECHNOLOGY,5,"$87,100"
MODELO,5,"$120,000"
SPRING 11,5,"$74,000"
BHATTA FIRM,5,"$62,598"
ZETA INTERACTIVE,5,"$72,753"
"ESE NYC, INC.",5,"$53,882"
LGBS SOFTWARE,5,"$60,000"
HARPRO TECH,5,"$63,000"
ASSOCIATES CORPORATION,5,"$109,319"
VIDA SHOES INTERNATIONAL,5,"$57,250"
FISHER PRICE,5,"$100,534"
LOCUS ANALYTICS,5,"$62,835"
HANDYBOOK,5,"$93,378"
INFOVISION TECHNOLOGIES,5,"$75,546"
MCCANN ERICKSON,5,"$112,460"
TRIGYN TECHNOLOGIES,5,"$106,842"
INFOREEM,5,"$89,107"
UNITED LEGWEAR COMPANY,5,"$46,000"
SIEGEL GALE,5,"$56,000"
LINDEN TRUST CONSERVATION,5,"$90,000"
VALIDUS AMERICA,5,"$155,020"
MEIS ARCHITECTS,5,"$66,100"
ENABLEIT,5,"$74,380"
MACYS,5,"$78,725"
AXONIC CAPITAL,5,"$137,000"
"MRY US, LLC",5,"$138,600"
SIGNUS LABS,5,"$102,461"
FASHION,5,"$48,196"
VINCE,5,"$123,000"
EYORK CONSULTING,5,"$66,100"
BRADLEE INTERNATIONAL,5,"$47,486"
HNTB CORPORATION,5,"$66,291"
YORK BLOOD CENTER,5,"$55,286"
DROGA 5,5,"$112,000"
AXIS,5,"$65,513"
ACCESSORIES,5,"$49,350"
MUESER RUTLEDGE CONSULTING ENGINEERS,5,"$76,740"
STRIKE TECHNOLOGIES,5,"$137,000"
AVAAZ FOUNDATION,5,"$88,500"
F AMERICAS,5,"$106,500"
AMBAY CORP,5,"$47,424"
EXCELIAN,5,"$122,600"
AVROKO HOSPITALITY GROUP,5,"$58,600"
SIMON KUCHER PARTNERS STRATEGY MARKETING CONSU,5,"$109,223"
MERCHANT CASH CAPITAL,5,"$77,296"
DOUBLEVERIFY,5,"$112,316"
SIMULMEDIA,5,"$127,800"
SWISS AMERICA HOLDING CORPORATION,5,"$102,617"
MAJOR LEAGUE SOCCER,5,"$106,600"
STRAWBERRYFROG,5,"$106,266"
EXPERIAN MARKETING SOLUTIONS,5,"$107,305"
SUDLER HENNESSEY,5,"$101,800"
MAYER BROWN,4,"$188,125"
GEEKSOFT,4,"$60,000"
ENSYMBIOS,4,"$85,000"
DAVIS SELECTED ADVISERS,4,"$133,028"
CLOUD PEEPS,4,"$80,000"
NYSE ARCA,4,"$110,181"
CLOUD SHERPAS,4,"$130,900"
JEFF KOONS,4,"$40,560"
GBT US LLC,4,"$130,889"
ASIA SOCIETY,4,"$47,250"
INDIA PRIVATE,4,"$76,873"
TEACHERS INSURANCE ANNUITY ASSOCIATION AMER,4,"$177,500"
JONES,4,"$160,000"
PROFESSIONAL ORTHOPEDIC SPORTS PHYSICAL THERAP,4,"$68,125"
PROFESSIONAL PLACEMENT RECRUITMENT,4,"$64,480"
CHINATOWN MANPOWER PROJECT,4,"$38,203"
MASTERCARD INTERNATIONAL INCORPORATED,4,"$93,100"
OCCITANE,4,"$67,352"
PROGRAMMER RESOURCES INTERNATIONAL,4,"$65,867"
CODY DESIGN,4,"$37,128"
FRANK RUSSELL COMPANY,4,"$91,629"
FIFTYTHREE,4,"$128,750"
REDEEMSOFT,4,"$70,569"
NORTHBOUND,4,"$68,878"
RECYCLEREWARDS,4,"$120,000"
TECHLIGENT SYSTEMS,4,"$62,920"
ASHURST,4,"$210,000"
CLINTON HEALTH ACCESS INITIATIVE,4,"$78,750"
O3 TECHNOLOGY SOLUTIONS,4,"$107,200"
MATILDA MEDIA GROUP,4,"$110,000"
ASSADI MILSTEIN,4,"$42,500"
JAPANESE CHILDREN SOCIETY,4,"$46,280"
ZODIAC SOLUTIONS DUNS 96 958 5384,4,"$81,805"
MAZAL JEWELERS,4,"$53,196"
RADIUS,4,"$70,950"
LITTLE MISSIONARY NURSERY,4,"$39,078"
SYNERGY INTEGRATION,4,"$83,500"
RAPID RATINGS INTERNATIONAL,4,"$71,176"
YARNZ INTERNATIONAL,4,"$57,876"
LUXURY,4,"$57,762"
PROFESSIONAL,4,"$65,568"
LINKLATERS,4,"$201,250"
MEDIAMORPH,4,"$65,000"
SVAM INTERNATIONAL,4,"$71,510"
AVALANCHE STUDIOS YORK,4,"$108,622"
DELL MARKETING,4,"$102,034"
IKON SOFTWARE SERVICES,4,"$62,841"
QUARTET FINANCIAL SYSTEMS,4,"$125,799"
QUALITY MATRIX,4,"$69,000"
HACKETT GROUP,4,"$104,998"
QUINN APPAREL,4,"$68,267"
LEACHENG INTL,4,"$59,493"
SWANKTEK,4,"$70,267"
AECOM TECHNOLOGY CORPORATION,4,"$130,272"
CITRIN COOPERMAN,4,"$67,875"
FINANCIAL RISK ENGINEERING,4,"$65,000"
AURIONPRO SOLUTIONS,4,"$102,121"
AUSTRALIA,4,"$41,600"
RABOBANK INTERNATIONAL,4,"$181,775"
JENSEN JENSEN,4,"$42,796"
RAPP WORLDWIDE,4,"$58,850"
ALMOD DIAMONDS LIMITED,4,"$86,000"
LITTLE BEAR,4,"$38,979"
SUNGARD SYSTEMS INTERNATIONAL,4,"$101,750"
MCAFEE,4,"$105,844"
SUNRISE BROKERS,4,"$112,204"
33 UNIVERSAL,4,"$65,233"
PUBMATIC,4,"$124,023"
GENERAL MARITIME MANAGEMENT,4,"$75,000"
IDEELI,4,"$112,625"
GEMOLOGICAL INSTITUTE AMERICA,4,"$73,706"
PULSEPOINT,4,"$103,750"
JEWELRY,4,"$75,086"
DEBORAH BERKE PARTNERS ARCHITECTS,4,"$65,120"
